"k","alpha0","alpha1","beta1"
208,0.100214311309784,0.393718356585112,0.396033351037439
209,0.10021968831737,0.393856160576391,0.396263376148415
210,0.100243386917417,0.393828646153089,0.396236880036073
211,0.100217399499029,0.393886480372776,0.396216260695235
212,0.100221128695499,0.393930216823008,0.396367580048992
213,0.100116833202833,0.393919493030127,0.396371343527411
214,0.100067740536638,0.393908171414163,0.396397181337977
215,0.100042249606554,0.393005015181607,0.39641132277829
216,0.100124784417893,0.392789708815333,0.396333155191678
217,0.100126180759536,0.392735887324141,0.396285254404953
218,0.100059081819579,0.392760889420377,0.396456304888327
219,0.100016167600484,0.392679731991466,0.396598295147575
220,0.100030920093634,0.39258868758132,0.396606816066347
221,0.100128440067436,0.392454189328109,0.396535913021561
222,0.100135144237637,0.39234266148988,0.396501903613013
223,0.100176253570472,0.392483222511187,0.395880122366199
224,0.100096588536026,0.392584953053952,0.395425105820941
225,0.100077959236353,0.392509460655542,0.395437929269014
226,0.100042089252334,0.392550929705613,0.395349995656967
227,0.100070923315658,0.392255239015226,0.395612226649803
228,0.100133967359065,0.391907300338917,0.395714609493247
229,0.100164744334431,0.391708193508858,0.39562855122974
230,0.100097966265439,0.391590241326453,0.395630850838232
231,0.100130268381889,0.391579512730684,0.395557215961907
232,0.100077539549004,0.39138145909186,0.395591712261155
233,0.100094326426397,0.391589274455074,0.395609816267302
234,0.100092679203926,0.391468036357621,0.395770499432768
235,0.0999722000777243,0.391338826529575,0.395770325320727
236,0.0999720619005389,0.391862536132153,0.395635297251338
237,0.0999745171541423,0.391338671680038,0.395631818392204
238,0.0999645117245383,0.391574998561055,0.395649393256136
239,0.0999974860916133,0.391296732898939,0.395602172403967
240,0.10003862698331,0.391330268840699,0.395605702982512
241,0.100040123113515,0.391744793257204,0.39563312887779
242,0.100031601612092,0.391687407494396,0.395697391167557
243,0.100026477610797,0.392235641104547,0.395732033652891
244,0.100126736394911,0.392173034360781,0.395843018112298
245,0.100269020899862,0.392246877360509,0.396030150635019
246,0.100235673316892,0.391499494508178,0.395972789228017
247,0.100262139476154,0.391546225352063,0.396066549812429
248,0.10002627608068,0.391799737388875,0.395997878596255
249,0.0999952831746502,0.39255059639733,0.396104782603811
250,0.100063015870712,0.392577205105152,0.39611479489703
251,0.100061927720743,0.392596467414251,0.396254034886731
252,0.100008582238705,0.392590257610647,0.395630911515719
253,0.100025477415114,0.392650452514403,0.395564039942335
254,0.0999462872813341,0.393129224702518,0.395602626142727
255,0.0999544336537997,0.393699530366534,0.39548707637216
256,0.0999962537746323,0.393509718921085,0.395480618878823
257,0.100029998034595,0.393420434594007,0.395397607211467
258,0.100022804955721,0.39356165367824,0.395399771390851
259,0.100002409877738,0.393515885144961,0.39543463773859
260,0.099947267932401,0.39358060933967,0.395319088445839
261,0.0999380454869984,0.393637696374673,0.395280191931314
262,0.0999228958525258,0.393981396830526,0.395676559085715
263,0.099951926652268,0.394100491167909,0.395419230479325
264,0.0999631349763397,0.393885523251127,0.395424353835901
265,0.0999291531612233,0.393781829106002,0.3952214198627
266,0.0999410658337622,0.393622024503184,0.39525117278398
267,0.10006802968431,0.393562571014067,0.395297775902059
268,0.100076802763371,0.392946495306035,0.395275633120743
269,0.100060078078222,0.39296958295382,0.395265926301975
270,0.100045051558119,0.393184182047093,0.395166080266681
271,0.10012002739251,0.393229424252366,0.395260802241037
272,0.100170822292506,0.393217228059049,0.395185957171857
273,0.100145691247197,0.393956845473066,0.395189631407873
274,0.100154577592294,0.394042115779762,0.395426196146918
275,0.100132910000689,0.394463221913695,0.395045568535893
276,0.100146173672552,0.394813330220043,0.395171975303605
277,0.100199302061818,0.394644568039994,0.39518589127176
278,0.100104252168498,0.394522983838089,0.395299641717978
279,0.100185891203113,0.394419286356646,0.394922712066333
280,0.100198220044617,0.39472299411539,0.394916656390542
281,0.100185181321145,0.394838290371994,0.39514703449942
282,0.100212080947216,0.394827944289847,0.395194064865179
283,0.100264065423698,0.393974240040958,0.395050006369133
284,0.100302871446852,0.394202507014114,0.395053102379436
285,0.100289709086247,0.394215353639725,0.395077157871613
286,0.100293919557627,0.394249292432836,0.395111738445448
287,0.100302543953651,0.39431696645486,0.395007541795834
288,0.100266762569882,0.394098879185081,0.39476570872636
289,0.100270268088949,0.393952502213764,0.394791279451696
290,0.100274727690836,0.393911066794344,0.394763968886041
291,0.100253704907623,0.393917379460608,0.394886944364485
292,0.100092449682013,0.393798283325048,0.394635954123881
293,0.100064886851601,0.393628425945923,0.394718940354425
294,0.100128138032392,0.393648347079759,0.394720470765462
295,0.100144852269503,0.393324702404383,0.394483883256636
296,0.100073324479788,0.393513370808865,0.39452599773553
297,0.100038977249311,0.393349474640181,0.394587299260938
298,0.100174532706299,0.39359366774863,0.394742608986513
299,0.100275178654774,0.393547828477292,0.394695624505619
300,0.100305619653471,0.393556482758931,0.394695451966892
301,0.100298812386907,0.39349415463624,0.394830705863643
302,0.100179737173954,0.392940217222699,0.394716238199254
303,0.100244636859498,0.392941052552435,0.394585753967821
304,0.100239412906626,0.39253300702565,0.395004455174614
305,0.100200503825223,0.392840082374016,0.394902943175737
306,0.100250199741383,0.392851965152512,0.39508595370206
307,0.100246220501519,0.392863392488573,0.395063766090903
308,0.100183865987932,0.392946133810393,0.395173352548375
309,0.100176336646466,0.392986141268157,0.39519339147617
310,0.100252055791162,0.393112668769126,0.395485383645945
311,0.100177200712716,0.393397888681908,0.395481834398969
312,0.100201130746234,0.393425856097397,0.395563136511369
313,0.100237475255133,0.39336087882242,0.395445984686534
314,0.100335231543151,0.392900515852312,0.3957470791374
315,0.100344572055578,0.393108137669875,0.395678318098362
316,0.100335002016236,0.392982971446753,0.395640265045764
317,0.100342782025001,0.39299000537275,0.395627143579207
318,0.10033715976915,0.393171150028934,0.395902858008746
319,0.100349829544273,0.393163786397056,0.395894747571139
320,0.100365797482818,0.392677860424027,0.395873059387619
321,0.100403274253051,0.392699557709299,0.395818953339705
322,0.100420745060638,0.392931001650259,0.395837361345175
323,0.100368776922059,0.392907388670933,0.395438876518975
324,0.100429610723048,0.393106332406003,0.39504953794154
325,0.100488744079341,0.392731086755775,0.395002790449222
326,0.100458264681446,0.393030459120589,0.395029999041218
327,0.100484151403398,0.393053484934807,0.395011240350597
328,0.100503687395765,0.39335279694444,0.394923566827905
329,0.10050227440767,0.393247727878107,0.394922778264425
330,0.10050143713395,0.39376812442355,0.394845463333006
331,0.100464537739788,0.393619154490287,0.394796506895031
332,0.100467786927202,0.393504422958676,0.394815386694274
333,0.100447519085155,0.393169675985655,0.394641893653864
334,0.100530231852651,0.393233204147021,0.394733832252559
335,0.100672900605835,0.393122138928716,0.394808705439238
336,0.100521900800474,0.393076472263139,0.395006031613647
337,0.100513774225666,0.39308748864656,0.395470927815541
338,0.10056808241756,0.392655614974497,0.395317548700783
339,0.100533192450269,0.392506299029639,0.395354134874594
340,0.100411321303806,0.392076035399829,0.395297324595772
341,0.100366954653753,0.39171427762566,0.395137735256703
342,0.100422745722343,0.39178333261517,0.395013055284981
343,0.100444252736877,0.3919502907305,0.394719313905866
344,0.100441990694065,0.392513603092393,0.394102057092879
345,0.100451978856803,0.392481504611404,0.394197448940208
346,0.100481895828273,0.392420238053678,0.394039353036576
347,0.10039444151052,0.392591343388414,0.393984421711434
348,0.100503757787521,0.392693021577661,0.394042684381831
349,0.100510631996438,0.393076886336132,0.394147236084948
350,0.100592310032314,0.393056543359749,0.394122091298992
351,0.100572639508488,0.392935072226482,0.3939813075071
352,0.100591397681106,0.392947584624479,0.393943158062032
353,0.100594272036708,0.393315835078475,0.394005095509871
354,0.100620380636804,0.393488053478172,0.394058374567486
355,0.10057697789412,0.393505609250023,0.394100504276006
356,0.100537833792791,0.393503092330043,0.393962449820186
357,0.100530505906331,0.393535301290545,0.393935039323359
358,0.100523043044858,0.393240398798434,0.393937089940095
359,0.100647090217045,0.392962426790209,0.393942944366405
360,0.100596121676225,0.39176860060367,0.393685323791083
361,0.100589054988231,0.391519717865394,0.394532163162499
362,0.100651694216913,0.391498201902593,0.394466322827483
363,0.100621587741384,0.391372888329323,0.39406924928969
364,0.100624275770291,0.391306191845153,0.394108548964912
365,0.100655083676465,0.391398606420598,0.394148842214026
366,0.100877749699263,0.39122488141634,0.394182231505153
367,0.10094841353955,0.391256874707996,0.394181447572303
368,0.100946472234983,0.391280643623306,0.393887182737495
369,0.10090303701783,0.391404134541131,0.39383118162259
370,0.100884933433781,0.391400325132129,0.393607304446933
371,0.100791248430442,0.391710743954232,0.393554114512972
372,0.100820899929103,0.391872999132213,0.393461815390986
373,0.100809354132847,0.391960037632983,0.393427728300073
374,0.100891813061938,0.391838878509195,0.393403981311873
375,0.100890477019968,0.391758289434007,0.393495944828786
376,0.100863035634577,0.391908515077891,0.393586535721914
377,0.100871395062315,0.39205379862406,0.393516601541724
378,0.100841484800699,0.391706659176612,0.393570271833259
379,0.100908959834039,0.391600471260477,0.393554835753221
380,0.100909850358625,0.391760163537723,0.393318624021071
381,0.100884429882983,0.391579541168881,0.39321757901507
382,0.100899968034471,0.391480139572286,0.392952043393283
383,0.10093884626344,0.391453074722118,0.392952636916079
384,0.101029426013195,0.391464930814403,0.392853581536656
385,0.101051477217567,0.391413859302853,0.393036462275089
386,0.10119498201179,0.391315661575147,0.39298672731
387,0.101121941896749,0.391365696608269,0.393020612489752
388,0.101121271249726,0.39089039842988,0.392947794529079
389,0.10113837782624,0.390992353377831,0.392930000305604
390,0.101174155745091,0.390723507170109,0.392862598326403
391,0.10116143386805,0.390953551776318,0.392790232173059
392,0.101166914026563,0.390952762105002,0.39286682851866
393,0.101157865052352,0.390368533104645,0.392762976885263
394,0.101134803718735,0.390946088240286,0.393448225521625
395,0.101151247527042,0.390685669250882,0.39390042785607
396,0.101232021371236,0.390543075652528,0.39350490696971
397,0.10132818277263,0.390228614641028,0.393444670896017
398,0.101328720698027,0.39074045572712,0.393321241780767
399,0.10137751990986,0.390637267329597,0.393308093317969
400,0.101339467602867,0.39090967073733,0.39318734306022
401,0.101361361754943,0.390884411192433,0.393298247537704
402,0.101149907618422,0.391202030842328,0.39359837796307
403,0.101161645899244,0.391150576964247,0.39355673367891
404,0.101101203620242,0.391208608180746,0.393152821307006
405,0.101083796916666,0.391217388462306,0.392813486424873
406,0.10111534146448,0.391540401929946,0.392880449562494
407,0.101120617167419,0.391345656084013,0.392683921435586
408,0.101134916753299,0.391178883536976,0.392712476908734
409,0.10109631052484,0.391131274893168,0.392794723586019
410,0.101061201454107,0.391164502266645,0.393021072115904
411,0.101062168422758,0.391079288915049,0.393013788931387
412,0.10100777848161,0.390992177332149,0.393157801435379
413,0.101051228926162,0.391417989087465,0.393156915768985
414,0.101121642152234,0.391311909547191,0.393198129700996
415,0.101062324057128,0.391306239474012,0.393116532814964
416,0.101001375838358,0.391157843814963,0.393114800699488
417,0.101002887072704,0.390837250584512,0.392933830179086
418,0.100997714544061,0.390285456963774,0.392969976931929
419,0.100934786448962,0.39004529189775,0.392489150285027
420,0.100895417867286,0.390014369233262,0.392575202466925
421,0.100875523339827,0.390021636471465,0.393026283767463
422,0.100878403439789,0.390135531378437,0.392856221989739
423,0.100787077681572,0.390104029905598,0.392691800891884
424,0.100799142175744,0.390097174067178,0.39269762126484
425,0.100822595883012,0.390313100214293,0.392572556982096
426,0.101036732212419,0.390075774733756,0.392490092823324
427,0.101215746269114,0.390168681215995,0.392527635814491
428,0.10122724471862,0.390158929525253,0.39255410946694
429,0.101250724201198,0.389976483522826,0.392697738205997
430,0.101323646437548,0.389449302004298,0.392763655613991
431,0.101319438822932,0.388731480102449,0.392742624481144
432,0.101471323329687,0.38885446084159,0.392739962769458
433,0.101427682514055,0.388811865203227,0.39277726386976
434,0.101390167551538,0.388707992448542,0.392841153165067
435,0.10120729333351,0.388769201538622,0.393159297310991
436,0.10125222994219,0.389144940725451,0.393168045999119
437,0.101252059901139,0.389750541005081,0.393416554643241
438,0.101245070660537,0.389063440157399,0.393584443792533
439,0.101261428769916,0.388828509062038,0.393732881054758
440,0.101246787413396,0.388907230187556,0.394094144588788
441,0.10119070800818,0.389050936626341,0.39442417877274
442,0.101162348663185,0.388699399266173,0.394377545428291
443,0.101063479375953,0.3884280154466,0.394439152875651
444,0.101063869557272,0.388569316576633,0.394682742865911
445,0.101057822493262,0.38796312225547,0.394908895520525
446,0.101039072418567,0.387963845722198,0.394936666529757
447,0.101012690444573,0.388256082127088,0.394865136734379
448,0.100843534592547,0.388319802163555,0.394832637110291
449,0.1008514632821,0.38849765122613,0.395044716931868
450,0.100815953672439,0.388651865521899,0.395063499768449
451,0.100817249027231,0.38866981063973,0.394822629362471
452,0.100818376839982,0.388932955652248,0.394950638520437
453,0.100822573540016,0.38888877880672,0.395312326319313
454,0.100697728311029,0.389618525361403,0.394961639394959
455,0.100619314451888,0.389823254000619,0.395111377292939
456,0.100672663669483,0.389798996026523,0.394928776583922
457,0.100645061472454,0.390090228911527,0.394904742825388
458,0.100633675897614,0.39023388831301,0.394947161356692
459,0.100628260799781,0.390084364138,0.395023942634745
460,0.100641863661885,0.389416176232135,0.394984653464454
461,0.100671543385921,0.389641166086758,0.394842169611429
462,0.100666633782596,0.389623475630547,0.394717398421476
463,0.100714231992693,0.38930504822027,0.394613655516628
464,0.100573731295079,0.389529593342802,0.394543456880572
465,0.100584330997466,0.389977978417721,0.394492189823309
466,0.100591153896813,0.391443519707591,0.394464810067657
467,0.100594320920781,0.391340326881978,0.394532257582069
468,0.100575695565837,0.391592777834543,0.394581229950314
469,0.100551820570187,0.39157529249429,0.394599064729255
470,0.100302511067987,0.391971515759388,0.394600697447019
471,0.100365832076184,0.392023448848279,0.394547020241201
472,0.100434040622396,0.392334474522373,0.394522301155125
473,0.100407716414195,0.392850823468528,0.394583576489769
474,0.100428820244038,0.393126548812695,0.39454385232331
475,0.100394516213455,0.392999948837213,0.394454161630459
476,0.100461886790392,0.393197055483119,0.394679935266932
477,0.100384381297093,0.393438430369295,0.394815774347419
478,0.100390223941959,0.393278107407827,0.394710642162609
479,0.100503992636362,0.39361563055708,0.394748181134054
480,0.100297597732769,0.393339361171413,0.394885460650801
481,0.100287950315777,0.393642622984702,0.394535798627816
482,0.1003051343992,0.393613891948685,0.394423957078306
483,0.100270281760849,0.393637241522874,0.394224559008691
484,0.100186492788978,0.393691632150338,0.394641665817246
485,0.100244813949882,0.394194462864196,0.394645996022407
486,0.100233408544047,0.394191949794692,0.394646939561617
487,0.100183522691436,0.394686898608104,0.394600446906874
488,0.100192958735363,0.39459063294305,0.394658474169092
489,0.100155889281146,0.394639932663377,0.39448316501086
490,0.100208374392583,0.394724578918801,0.394531266522147
491,0.100205417262096,0.394815195337789,0.394269774212258
492,0.100182598320847,0.395409792399015,0.394333783876149
493,0.10024192864965,0.395289439382632,0.394376445819441
494,0.100257784822613,0.395323560519451,0.39508773285764
495,0.100264728317365,0.395269842107995,0.395177930178057
496,0.100238535474013,0.395355586518209,0.395178258680976
497,0.100247397470959,0.395469657751784,0.395217218400193
498,0.100264824696484,0.395484229623577,0.395353386238155
499,0.10025195807145,0.395325752978065,0.395525500851805
500,0.1002880307068,0.395198197604623,0.395382067670174
501,0.10033805223309,0.39465795548851,0.395391402806401
502,0.100313050938351,0.394612082619456,0.395428671968618
503,0.100324883623897,0.394686072070501,0.395471903472059
504,0.100251001528297,0.394404903814484,0.395509134445721
505,0.100243552408267,0.395804534882422,0.395498537089795
506,0.100153828183996,0.395708840622906,0.395417181910416
507,0.100139595919804,0.395615714401337,0.395376705246554
508,0.100255883554374,0.395862238023827,0.395432113867699
509,0.100254689888036,0.395296087231243,0.395450000321672
510,0.100344713656503,0.395484328317897,0.395427441921318
511,0.100326259256281,0.395542367477945,0.395560735188239
512,0.100325031528432,0.395609890675028,0.395529051219815
513,0.100324924970076,0.395829681437847,0.395494718972482
514,0.100378347783965,0.396200551001546,0.395660986613987
515,0.100412299410622,0.395703599729777,0.395632111100382
516,0.100472075435451,0.39566934115581,0.395660198811417
517,0.100575038590236,0.395797245364344,0.395736930039745
518,0.100477998715711,0.395731747424633,0.395822268920255
519,0.100299934507339,0.395508514350299,0.395789958277699
520,0.100337138979307,0.395554922138108,0.395778345542592
521,0.100315928890984,0.39531887953895,0.395782174823046
522,0.100330494081656,0.395061914495858,0.395772436542999
523,0.100299581904109,0.395141875941476,0.395854888581212
524,0.100416847014197,0.395114192417974,0.396038022144192
525,0.10046392886094,0.39555854385312,0.396033881983769
526,0.100425731905088,0.394869048975167,0.396033812858996
527,0.10043438043153,0.394622473921661,0.396600668528667
528,0.100434323020708,0.395698040733515,0.396752327826754
529,0.100430155559533,0.395529299513396,0.396812921779466
530,0.100411753918046,0.395461281530132,0.396702477115601
531,0.100316449460365,0.395426328214384,0.396732329072654
532,0.100363884691077,0.39582104437408,0.396762306278373
533,0.100418732699602,0.396508725285431,0.396714095456231
